iter	phi	mu	r	Density	Potential
0	0	0.03125	296000	2600	-520516
0	0	0.03125	304000	2600	-519333
0	0	0.03125	312000	2600	-518167
0	0	0.03125	320000	2600	-516922
0	0	0.03125	328000	2600	-515693
0	0	0.03125	336000	2600	-514387
0	0	0.03125	344000	2600	-513096
0	0	0.03125	352000	2600	-511728
0	0	0.03125	360000	2600	-510375
0	0	0.03125	368000	2600	-508945
0	0	0.03125	376000	2600	-507531
0	0	0.03125	384000	2600	-506039
0	0	0.03125	392000	2600	-504563
0	0	0.03125	400000	2600	-503009
0	0	0.03125	408000	2600	-501471
0	0	0.03125	416000	2600	-499856
0	0	0.03125	424000	2600	-498256
0	0	0.03125	432000	2600	-496578
0	0	0.03125	440000	2600	-494916
0	0	0.03125	448000	2600	-493177
0	0	0.03125	456000	2600	-491453
0	0	0.03125	464000	2600	-489650
0	0	0.03125	472000	2600	-487864
0	0	0.03125	480000	2600	-485999
0	0	0.03125	488000	2600	-484149
0	0	0.03125	496000	2600	-482221
0	0	0.03125	504000	2600	-480310
0	0	0.03125	512000	2600	-478326
0	0	0.03125	520000	2600	-476355
0	0	0.03125	528000	2600	-474305
0	0	0.03125	536000	2600	-472270
0	0	0.03125	544000	2600	-470160
0	0	0.03125	552000	2600	-468069
0	0	0.03125	560000	2600	-465906
0	0	0.03125	568000	2600	-463757
0	0	0.03125	576000	2600	-461527
0	0	0.03125	584000	2600	-459311
0	0	0.03125	592000	2600	-457011
0	0	0.03125	600000	2600	-454725
0	0	0.03125	608000	2600	-452357
0	0	0.03125	616000	2600	-450004
0	0	0.03125	624000	2600	-447577
0	0	0.03125	632000	2600	-445166
0	0	0.03125	640000	2600	-442682
0	0	0.03125	648000	2600	-440216
0	0	0.03125	656000	2600	-437680
0	0	0.03125	664000	2600	-435160
0	0	0.03125	672000	2600	-432569
0	0	0.03125	680000	2600	-429996
0	0	0.03125	688000	2600	-427346
0	0	0.03125	696000	2600	-424710
0	0	0.03125	704000	2600	-421994
